ts	tag	phase	kind	source	chr21_rec	chr21_prec	chr22_rec	chr22_prec	pool_rec	pool_prec	accepted	note
2026-06-25T04:23:20Z	c_catch78	3	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	75.13	51.55	77.70	55.83	76.45	53.76	near/reject	catchall_id0.78
2026-06-25T04:58:31Z	c_id77	3	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	75.42	51.42	77.97	55.74	76.73	53.65	near	CATCHALL_MIN_IDENTITY=0.77
2026-06-25T04:58:35Z	c_id74l30	3	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	70.79	52.66	73.35	57.49	72.10	55.13	accept	CATCHALL_MIN_IDENTITY=0.74+CATCHALL_MIN_LEN=30
2026-06-25T04:58:38Z	c_id76	3	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	75.55	51.46	78.07	55.76	76.84	53.68	near	CATCHALL_MIN_IDENTITY=0.76
2026-06-25T04:58:47Z	c_id76l28	3	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	70.17	52.65	72.64	57.50	71.44	55.12	accept	CATCHALL_MIN_IDENTITY=0.76+CATCHALL_MIN_LEN=28
2026-06-25T04:59:16Z	c_id76p50	3	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	75.60	51.52	78.14	55.74	76.91	53.70	near	CATCHALL_MIN_IDENTITY=0.76+CATCHALL_MAX_P=50
2026-06-25T19:10:41Z	f_ent08cp3	4	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	82.00	49.34	83.17	53.66	82.60	51.55	pending	CATCHALL_MIN_ENTROPY=0.8+CATCHALL_MIN_COPIES=3
2026-06-25T19:10:44Z	f_base	4	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	83.58	47.60	84.50	52.34	84.05	50.00	pending	CATCHALL_MIN_COPIES=2
2026-06-25T19:10:45Z	f_ent06	4	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	83.57	47.60	84.49	52.33	84.04	50.00	pending	CATCHALL_MIN_ENTROPY=0.6
2026-06-25T19:10:46Z	f_ent08	4	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	83.51	47.60	84.39	52.32	83.96	50.00	pending	CATCHALL_MIN_ENTROPY=0.8
2026-06-25T19:11:05Z	f_ent10	4	code	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	82.30	47.65	83.35	52.44	82.84	50.08	pending	CATCHALL_MIN_ENTROPY=1.0
