sample_id	verdict	note				
S241	UNSUPPORTED					
S242	UNSUPPORTED					
S243	UNSUPPORTED					
S244	UNSUPPORTED					
S245	UNSUPPORTED					
S246	UNSUPPORTED					
S247	UNSUPPORTED					
S248	UNSUPPORTED					
S249	UNSUPPORTED					
S250	UNSUPPORTED					
S251	UNSUPPORTED					
S252	UNSUPPORTED					
S253	UNSUPPORTED					
S254	UNSUPPORTED					
S255	UNSUPPORTED					
S256	UNSUPPORTED					
S257	UNSUPPORTED					
S258	UNSUPPORTED					
S259	UNSUPPORTED					
S260	UNSUPPORTED					
S261	UNSUPPORTED					
S262	UNSUPPORTED					
S263	UNSUPPORTED					
S264	UNSURE					
S265	UNSUPPORTED					
S266	UNSUPPORTED					
S267	UNSUPPORTED					
S268	UNSUPPORTED					
S269	UNSUPPORTED					
S270	UNSUPPORTED					
S271	UNSUPPORTED					
S272	UNSURE					
S273	UNSUPPORTED					
S274	UNSUPPORTED					
S275	UNSUPPORTED					
S276	UNSUPPORTED					
S277	UNSUPPORTED					
S278	UNSUPPORTED					
S279	UNSUPPORTED					
S280	UNSUPPORTED					
S281	UNSUPPORTED					
S282	UNSUPPORTED					
S283	UNSUPPORTED					
S284	UNSUPPORTED					
S285	UNSUPPORTED					
S286	UNSUPPORTED					
S287	UNSUPPORTED					
S288	UNSUPPORTED					
S289	UNSUPPORTED					
S290	UNSUPPORTED					
S291	UNSUPPORTED					
S292	UNSUPPORTED					
S293	UNSUPPORTED					
S294	UNSUPPORTED					
S295	UNSUPPORTED					
S296	UNSUPPORTED					
S297	UNSUPPORTED					
S298	UNSUPPORTED					
S299	UNSUPPORTED					
S300	UNSUPPORTED					
S301	UNSUPPORTED					
S302	UNSUPPORTED					
S303	UNSUPPORTED					
S304	UNSUPPORTED					
S305	UNSUPPORTED					
S306	UNSUPPORTED					
S307	UNSUPPORTED					
S308	UNSUPPORTED					
S309	UNSUPPORTED					
S310	UNSUPPORTED					
S311	UNSUPPORTED					
S312	UNSUPPORTED					
S313	UNSUPPORTED					
S314	UNSUPPORTED					
S315	UNSUPPORTED					
S316	UNSUPPORTED					
S317	UNSUPPORTED					
S318	UNSUPPORTED					
S319	UNSUPPORTED					
S320	UNSUPPORTED					
S321	UNSUPPORTED					
S322	UNSUPPORTED					
S323	UNSUPPORTED					
S324	UNSUPPORTED					
S325	UNSUPPORTED					
S326	UNSUPPORTED					
S327	UNSUPPORTED					
S328	UNSUPPORTED					
S329	UNSUPPORTED					
S330	UNSUPPORTED					
S331	UNSURE					
S332	UNSUPPORTED					
S333	UNSUPPORTED					
S334	UNSUPPORTED					
S335	UNSUPPORTED					
S336	UNSUPPORTED					
S337	UNSUPPORTED					
S338	UNSUPPORTED					
S339	UNSUPPORTED					
S340	UNSUPPORTED					
S341	UNSUPPORTED					
S342	UNSUPPORTED					
S343	UNSUPPORTED					
S344	UNSUPPORTED					
S345	UNSUPPORTED					
S346	UNSUPPORTED					
S347	UNSUPPORTED					
S348	UNSUPPORTED					
S349	UNSUPPORTED					
S350	UNSUPPORTED					
S351	UNSUPPORTED					
S352	UNSUPPORTED					
S353	UNSUPPORTED					
S354	UNSUPPORTED					
S355	UNSUPPORTED					
S356	UNSUPPORTED					
S357	UNSUPPORTED					
S358	UNSUPPORTED					
S359	UNSUPPORTED					
S360	UNSUPPORTED					
S361	UNSUPPORTED					
S362	UNSUPPORTED					
S363	UNSUPPORTED					
S364	UNSUPPORTED					
S365	UNSUPPORTED					
S366	UNSUPPORTED					
S367	UNSUPPORTED					
S368	UNSUPPORTED					
S369	UNSUPPORTED					
S370	UNSUPPORTED					
S371	UNSUPPORTED					
S372	UNSUPPORTED					
S373	UNSUPPORTED					
S374	UNSUPPORTED					
S375	UNSUPPORTED					
S376	UNSUPPORTED					
S377	UNSUPPORTED					
S378	UNSUPPORTED					
S379	UNSUPPORTED					
S380	UNSUPPORTED					
S381	UNSUPPORTED					
S382	UNSUPPORTED					
S383	UNSUPPORTED					
S384	UNSUPPORTED					
S385	UNSUPPORTED					
S386	UNSUPPORTED					
S387	UNSUPPORTED					
S388	UNSUPPORTED					
S389	UNSUPPORTED					
S390	UNSUPPORTED					
S391	UNSUPPORTED					
S392	UNSUPPORTED					
S393	UNSUPPORTED					
S394	UNSUPPORTED					
S395	UNSUPPORTED					
S396	UNSUPPORTED					
S397	UNSUPPORTED					
S398	UNSUPPORTED					
S399	UNSUPPORTED					
S400	UNSUPPORTED					
